Date,DailyVolB1
2022.10.14,258
2022.10.15,215
2022.10.16,222
2022.10.17,219
2022.10.18,196
2022.10.19,220
2022.10.20,251
2022.10.21,191
2022.10.22,205
2022.10.23,200
2022.10.24,189
2022.10.25,182
2022.10.26,238
2022.10.27,237
2022.10.28,216
2022.10.29,201
2022.10.30,183
2022.10.31,212
2022.11.01,253
2022.11.02,219
2022.11.03,248
2022.11.04,243
2022.11.05,234
2022.11.06,215
2022.11.07,180
2022.11.08,222
2022.11.09,229
2022.11.10,242
2022.11.11,217
2022.11.12,257
2022.11.13,190
2022.11.14,198
2022.11.15,241
2022.11.16,226
2022.11.17,206
2022.11.18,257
2022.11.19,230
2022.11.20,210
2022.11.21,250
2022.11.22,214
2022.11.23,187
2022.11.24,228
2022.11.25,192
2022.11.26,195
2022.11.27,219
2022.11.28,248
2022.11.29,243
2022.11.30,236
2022.12.01,223
